sample.id,ID,Uni
Y1,A10,55846943
Y3,A11,54831099
Y21,A12,50003167
M5,A13,57789419
M20,A14,52370376
M21,A15,53704326
O3,A16,51068885
O15,A17,53808195
O16,A18,60210545
Y1,A1,54046753
Y3,A2,48333481
Y21,A3,46036256
M5,A4,52648908
M20,A5,48677059
M21,A6,45694669
O3,A7,40780479
O15,A8,50956705
O16,A9,47784647
O9,B10,37985467
O13,B11,37824566
O18,B12,40797534
Y8,B13,37988958
Y13,B14,41686267
Y18,B15,38485351
M3,B17,43092374
M7,B18,38436749
M15,B19,39519648
Y8,B1,35627873
M19,B20,32392886
O4,B21,32761547
O9,B22,35366277
O13,B23,40314113
O18,B24,39099817
Y13,B2,39024237
Y18,B3,38469022
M3,B5,36901244
M7,B6,37941417
M15,B7,41573142
M19,B8,43031164
O4,B9,47741432
O14,C10,43811253
O20,C11,42612269
O21,C12,39909174
Y6,C13,49913929
Y15,C14,48807483
Y19,C15,48061761
Y20,C16,49427079
M8,C17,55841009
M9,C18,58561903
M11,C19,56110724
Y6,C1,46471177
M12,C20,47638714
O11,C21,54358918
O14,C22,57608416
O20,C23,57074448
O21,C24,48995643
Y23,C25,54239633
Y23,C26,39494749
Y15,C2,41755549
Y19,C3,42901661
Y20,C4,47545188
M8,C5,42852039
M9,C6,40647822
M11,C7,39637249
M12,C8,45173506
O11,C9,41766249
O8,D10,39754238
O19,D11,43791622
O22,D12,42305563
Y2,D13,46526896
Y10,D14,47519561
Y14,D15,50767985
Y16,D16,49170222
M13,D17,47770110
M14,D18,53598520
M16,D19,49314822
Y2,D1,45699403
M17,D20,38463437
O5,D21,49698891
O8,D22,48677216
O19,D23,56173041
O22,D24,58544356
Y10,D2,45118544
Y14,D3,39983314
Y16,D4,47824960
M13,D5,43362148
M14,D6,40180643
M16,D7,37900979
M17,D8,37146044
O5,D9,43000799
O7,E10,44772663
O17,E11,50505755
O24,E12,51066929
Y4,E13,50012831
Y7,E14,52195900
Y12,E15,59441128
Y17,E16,59022188
M4,E17,57889861
M10,E18,57974091
M18,E19,54647757
Y4,E1,54102131
M22,E20,56068512
O6,E21,63811403
O7,E22,56794159
O17,E23,66758734
O24,E24,74223013
Y7,E2,55954885
Y12,E3,50054986
Y17,E4,52206619
M4,E5,46948660
M10,E6,44959163
M18,E7,43967120
M22,E8,47024073
O6,E9,48039702
O2,F10,48707841
O12,F11,56427490
O23,F12,50597956
Y5,F13,56214178
Y9,F14,64602303
Y11,F15,70424268
Y22,F16,59457928
Y24,F17,67481814
M1,F18,53205379
M2,F19,58294353
Y5,F1,54981855
M6,F20,63436537
O1,F21,60817892
O2,F22,60779523
O12,F23,58822666
O23,F24,56887355
Y9,F2,52581709
Y11,F3,52345809
Y22,F4,53915023
Y24,F5,60368928
M1,F6,54269421
M2,F7,65452884
M6,F8,50616739
O1,F9,48543831
